"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 17:04:16 GMT 2024","Tue Nov 05 17:04:17 GMT 2024","497","Surefire suite","Surefire test","AuthorsNegativeCasesTest","AuthorsNegativeCasesTest","testStep_2","Verify get Author By Id response error with wrong author id",""
"passed","Tue Nov 05 17:04:14 GMT 2024","Tue Nov 05 17:04:14 GMT 2024","528","Surefire suite","Surefire test","BooksNegativeCasesTest","BooksNegativeCasesTest","testStep_2","Verify get Book By Id response error with wrong book id",""
"passed","Tue Nov 05 17:04:20 GMT 2024","Tue Nov 05 17:04:20 GMT 2024","506","Surefire suite","Surefire test","BooksHappyPathsTest","BooksHappyPathsTest","testStep_2","Verify get Book By Id response",""
"passed","Tue Nov 05 17:04:14 GMT 2024","Tue Nov 05 17:04:15 GMT 2024","673","Surefire suite","Surefire test","BooksNegativeCasesTest","BooksNegativeCasesTest","testStep_3","Verify Book creation error with null page count",""
"passed","Tue Nov 05 17:04:21 GMT 2024","Tue Nov 05 17:04:21 GMT 2024","458","Surefire suite","Surefire test","BooksHappyPathsTest","BooksHappyPathsTest","testStep_4","Verify Book update",""
"passed","Tue Nov 05 17:04:24 GMT 2024","Tue Nov 05 17:04:24 GMT 2024","428","Surefire suite","Surefire test","AuthorsHappyPathsTest","AuthorsHappyPathsTest","testStep_5","Verify Author deletion",""
"passed","Tue Nov 05 17:04:20 GMT 2024","Tue Nov 05 17:04:21 GMT 2024","444","Surefire suite","Surefire test","BooksHappyPathsTest","BooksHappyPathsTest","testStep_3","Verify Book creation",""
"passed","Tue Nov 05 17:04:22 GMT 2024","Tue Nov 05 17:04:23 GMT 2024","430","Surefire suite","Surefire test","AuthorsHappyPathsTest","AuthorsHappyPathsTest","testStep_2","Verify get Author By Id response",""
"passed","Tue Nov 05 17:04:17 GMT 2024","Tue Nov 05 17:04:17 GMT 2024","439","Surefire suite","Surefire test","AuthorsNegativeCasesTest","AuthorsNegativeCasesTest","testStep_3","Verify Author creation error with null author id",""
"passed","Tue Nov 05 17:04:12 GMT 2024","Tue Nov 05 17:04:14 GMT 2024","1691","Surefire suite","Surefire test","BooksNegativeCasesTest","BooksNegativeCasesTest","testStep_1","Verify get All Books response error with wrong url",""
"passed","Tue Nov 05 17:04:16 GMT 2024","Tue Nov 05 17:04:16 GMT 2024","454","Surefire suite","Surefire test","AuthorsNegativeCasesTest","AuthorsNegativeCasesTest","testStep_1","Verify get All Authors response error with wrong url",""
"passed","Tue Nov 05 17:04:15 GMT 2024","Tue Nov 05 17:04:16 GMT 2024","444","Surefire suite","Surefire test","BooksNegativeCasesTest","BooksNegativeCasesTest","testStep_5","Verify Book deletion error with wrong url",""
"passed","Tue Nov 05 17:04:23 GMT 2024","Tue Nov 05 17:04:24 GMT 2024","422","Surefire suite","Surefire test","AuthorsHappyPathsTest","AuthorsHappyPathsTest","testStep_4","Verify Author update",""
"passed","Tue Nov 05 17:04:23 GMT 2024","Tue Nov 05 17:04:23 GMT 2024","421","Surefire suite","Surefire test","AuthorsHappyPathsTest","AuthorsHappyPathsTest","testStep_3","Verify Author creation",""
"passed","Tue Nov 05 17:04:18 GMT 2024","Tue Nov 05 17:04:18 GMT 2024","445","Surefire suite","Surefire test","AuthorsNegativeCasesTest","AuthorsNegativeCasesTest","testStep_5","Verify Author deletion error with wrong url",""
"passed","Tue Nov 05 17:04:15 GMT 2024","Tue Nov 05 17:04:15 GMT 2024","462","Surefire suite","Surefire test","BooksNegativeCasesTest","BooksNegativeCasesTest","testStep_4","Verify Book update error with wrong date format",""
"passed","Tue Nov 05 17:04:21 GMT 2024","Tue Nov 05 17:04:22 GMT 2024","431","Surefire suite","Surefire test","BooksHappyPathsTest","BooksHappyPathsTest","testStep_5","Verify Book deletion",""
"passed","Tue Nov 05 17:04:22 GMT 2024","Tue Nov 05 17:04:22 GMT 2024","813","Surefire suite","Surefire test","AuthorsHappyPathsTest","AuthorsHappyPathsTest","testStep_1","Verify get All Authors response",""
"passed","Tue Nov 05 17:04:17 GMT 2024","Tue Nov 05 17:04:18 GMT 2024","443","Surefire suite","Surefire test","AuthorsNegativeCasesTest","AuthorsNegativeCasesTest","testStep_4","Verify Author update error with wrong url",""
"passed","Tue Nov 05 17:04:18 GMT 2024","Tue Nov 05 17:04:20 GMT 2024","1683","Surefire suite","Surefire test","BooksHappyPathsTest","BooksHappyPathsTest","testStep_1","Verify getAllBooks response",""
