"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","428","Verify Author creation","Surefire suite","Tue Nov 05 17:13:17 GMT 2024","passed","Tue Nov 05 17:13:17 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_3"
"","1756","Verify get All Books response error with wrong url","Surefire suite","Tue Nov 05 17:13:06 GMT 2024","passed","Tue Nov 05 17:13:07 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_1"
"","437","Verify Book creation","Surefire suite","Tue Nov 05 17:13:14 GMT 2024","passed","Tue Nov 05 17:13:15 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_3"
"","505","Verify get Book By Id response","Surefire suite","Tue Nov 05 17:13:14 GMT 2024","failed","Tue Nov 05 17:13:14 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_2"
"","452","Verify get Author By Id response","Surefire suite","Tue Nov 05 17:13:16 GMT 2024","passed","Tue Nov 05 17:13:17 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_2"
"","430","Verify Author deletion","Surefire suite","Tue Nov 05 17:13:18 GMT 2024","passed","Tue Nov 05 17:13:18 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_5"
"","544","Verify get Book By Id response error with wrong book id","Surefire suite","Tue Nov 05 17:13:08 GMT 2024","passed","Tue Nov 05 17:13:08 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_2"
"","458","Verify Author creation error with null author id","Surefire suite","Tue Nov 05 17:13:11 GMT 2024","passed","Tue Nov 05 17:13:11 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_3"
"","1699","Verify getAllBooks response","Surefire suite","Tue Nov 05 17:13:12 GMT 2024","passed","Tue Nov 05 17:13:14 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_1"
"","441","Verify Book update error with wrong date format","Surefire suite","Tue Nov 05 17:13:09 GMT 2024","passed","Tue Nov 05 17:13:09 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_4"
"","511","Verify get Author By Id response error with wrong author id","Surefire suite","Tue Nov 05 17:13:10 GMT 2024","passed","Tue Nov 05 17:13:11 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_2"
"","427","Verify Author update","Surefire suite","Tue Nov 05 17:13:17 GMT 2024","passed","Tue Nov 05 17:13:18 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_4"
"","440","Verify Book update","Surefire suite","Tue Nov 05 17:13:15 GMT 2024","passed","Tue Nov 05 17:13:15 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_4"
"","432","Verify Book deletion","Surefire suite","Tue Nov 05 17:13:15 GMT 2024","passed","Tue Nov 05 17:13:15 GMT 2024","BooksHappyPathsTest","Surefire test","BooksHappyPathsTest","testStep_5"
"","445","Verify Author update error with wrong url","Surefire suite","Tue Nov 05 17:13:11 GMT 2024","passed","Tue Nov 05 17:13:12 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_4"
"","439","Verify Author deletion error with wrong url","Surefire suite","Tue Nov 05 17:13:12 GMT 2024","passed","Tue Nov 05 17:13:12 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_5"
"","700","Verify Book creation error with null page count","Surefire suite","Tue Nov 05 17:13:08 GMT 2024","passed","Tue Nov 05 17:13:09 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_3"
"","777","Verify get All Authors response","Surefire suite","Tue Nov 05 17:13:16 GMT 2024","passed","Tue Nov 05 17:13:16 GMT 2024","AuthorsHappyPathsTest","Surefire test","AuthorsHappyPathsTest","testStep_1"
"","443","Verify get All Authors response error with wrong url","Surefire suite","Tue Nov 05 17:13:10 GMT 2024","passed","Tue Nov 05 17:13:10 GMT 2024","AuthorsNegativeCasesTest","Surefire test","AuthorsNegativeCasesTest","testStep_1"
"","446","Verify Book deletion error with wrong url","Surefire suite","Tue Nov 05 17:13:09 GMT 2024","passed","Tue Nov 05 17:13:10 GMT 2024","BooksNegativeCasesTest","Surefire test","BooksNegativeCasesTest","testStep_5"
